,repetition_number,weight_index,weight_tuple,num_iterations,normalised_speed_reward,normalised_energy_reward,raw_speed_reward,raw_energy_reward
588,8,29,"[0.44796711683837226, 0.5520328831616278]",80,0.006827277223266923,0.9501651889063508,0.5461821778613538,76.01321511250806
589,9,29,"[0.44796711683837226, 0.5520328831616278]",80,0.006827277223266923,0.9501651889063508,0.5461821778613538,76.01321511250806
590,10,29,"[0.44796711683837226, 0.5520328831616278]",80,0.006827277223266923,0.9501651889063508,0.5461821778613538,76.01321511250806
591,11,29,"[0.44796711683837226, 0.5520328831616278]",80,0.019267734650563837,0.9468137396309885,1.541418772045107,75.74509917047908
592,12,29,"[0.44796711683837226, 0.5520328831616278]",80,0.012948328665227254,0.9483902579194632,1.0358662932181804,75.87122063355706
593,13,29,"[0.44796711683837226, 0.5520328831616278]",80,0.006827277223266923,0.9501651889063508,0.5461821778613538,76.01321511250806
594,14,29,"[0.44796711683837226, 0.5520328831616278]",80,0.006827277223266923,0.9501651889063508,0.5461821778613538,76.01321511250806
595,15,29,"[0.44796711683837226, 0.5520328831616278]",80,0.019267734650563837,0.9468137396309885,1.541418772045107,75.74509917047908
596,16,29,"[0.44796711683837226, 0.5520328831616278]",80,0.0009027307605509287,0.952138532591651,0.0722184608440743,76.17108260733208
597,17,29,"[0.44796711683837226, 0.5520328831616278]",80,0.0009027307605509287,0.952138532591651,0.0722184608440743,76.17108260733208
598,18,29,"[0.44796711683837226, 0.5520328831616278]",80,0.006827277223266923,0.9501651889063508,0.5461821778613538,76.01321511250806
599,19,29,"[0.44796711683837226, 0.5520328831616278]",80,0.0009027307605509287,0.952138532591651,0.0722184608440743,76.17108260733208
600,0,30,"[0.4633663145393467, 0.5366336854606533]",80,0.012948328665227254,0.9483902579194632,1.0358662932181804,75.87122063355706
601,1,30,"[0.4633663145393467, 0.5366336854606533]",80,0.006827277223266923,0.9501651889063508,0.5461821778613538,76.01321511250806
602,2,30,"[0.4633663145393467, 0.5366336854606533]",80,0.006827277223266923,0.9501651889063508,0.5461821778613538,76.01321511250806
603,3,30,"[0.4633663145393467, 0.5366336854606533]",80,0.019267734650563837,0.9468137396309885,1.541418772045107,75.74509917047908
604,4,30,"[0.4633663145393467, 0.5366336854606533]",80,0.006827277223266923,0.9501651889063508,0.5461821778613538,76.01321511250806
605,5,30,"[0.4633663145393467, 0.5366336854606533]",80,0.006827277223266923,0.9501651889063508,0.5461821778613538,76.01321511250806
606,6,30,"[0.4633663145393467, 0.5366336854606533]",5,0.3063817089808227,0.6733274484101596,1.5319085449041134,3.366637242050798
607,7,30,"[0.4633663145393467, 0.5366336854606533]",80,0.006827277223266923,0.9501651889063508,0.5461821778613538,76.01321511250806
608,8,30,"[0.4633663145393467, 0.5366336854606533]",80,0.012948328665227254,0.9483902579194632,1.0358662932181804,75.87122063355706
609,9,30,"[0.4633663145393467, 0.5366336854606533]",80,0.006827277223266923,0.9501651889063508,0.5461821778613538,76.01321511250806
610,10,30,"[0.4633663145393467, 0.5366336854606533]",80,0.006827277223266923,0.9501651889063508,0.5461821778613538,76.01321511250806
611,11,30,"[0.4633663145393467, 0.5366336854606533]",80,0.012948328665227254,0.9483902579194632,1.0358662932181804,75.87122063355706
612,12,30,"[0.4633663145393467, 0.5366336854606533]",80,0.019267734650563837,0.9468137396309885,1.541418772045107,75.74509917047908
613,13,30,"[0.4633663145393467, 0.5366336854606533]",80,0.012948328665227254,0.9483902579194632,1.0358662932181804,75.87122063355706
614,14,30,"[0.4633663145393467, 0.5366336854606533]",80,0.006827277223266923,0.9501651889063508,0.5461821778613538,76.01321511250806
615,15,30,"[0.4633663145393467, 0.5366336854606533]",80,0.0009027307605509287,0.952138532591651,0.0722184608440743,76.17108260733208
616,16,30,"[0.4633663145393467, 0.5366336854606533]",80,0.006827277223266923,0.9501651889063508,0.5461821778613538,76.01321511250806
617,17,30,"[0.4633663145393467, 0.5366336854606533]",80,0.012948328665227254,0.9483902579194632,1.0358662932181804,75.87122063355706
618,18,30,"[0.4633663145393467, 0.5366336854606533]",80,0.0009027307605509287,0.952138532591651,0.0722184608440743,76.17108260733208
619,19,30,"[0.4633663145393467, 0.5366336854606533]",80,0.0009027307605509287,0.952138532591651,0.0722184608440743,76.17108260733208
620,0,31,"[0.4787331146833602, 0.5212668853166398]",80,0.019267734650563837,0.9468137396309885,1.541418772045107,75.74509917047908
621,1,31,"[0.4787331146833602, 0.5212668853166398]",80,0.012948328665227254,0.9483902579194632,1.0358662932181804,75.87122063355706
622,2,31,"[0.4787331146833602, 0.5212668853166398]",80,0.012948328665227254,0.9483902579194632,1.0358662932181804,75.87122063355706
623,3,31,"[0.4787331146833602, 0.5212668853166398]",80,0.019267734650563837,0.9468137396309885,1.541418772045107,75.74509917047908
624,4,31,"[0.4787331146833602, 0.5212668853166398]",80,0.006827277223266923,0.9501651889063508,0.5461821778613538,76.01321511250806
625,5,31,"[0.4787331146833602, 0.5212668853166398]",80,0.012948328665227254,0.9483902579194632,1.0358662932181804,75.87122063355706
626,6,31,"[0.4787331146833602, 0.5212668853166398]",80,0.019267734650563837,0.9468137396309885,1.541418772045107,75.74509917047908
627,7,31,"[0.4787331146833602, 0.5212668853166398]",80,0.0009027307605509287,0.952138532591651,0.0722184608440743,76.17108260733208
628,8,31,"[0.4787331146833602, 0.5212668853166398]",80,0.006827277223266923,0.9501651889063508,0.5461821778613538,76.01321511250806
629,9,31,"[0.4787331146833602, 0.5212668853166398]",80,0.0009027307605509287,0.952138532591651,0.0722184608440743,76.17108260733208
