,repetition_number,weight_index,weight_tuple,num_iterations,normalised_speed_reward,normalised_energy_reward,raw_speed_reward,raw_energy_reward
1080,0,54,"[0.8306463410673475, 0.1693536589326525]",15,0.5441683962291164,0.7265534994819388,8.162525943436746,10.898302492229082
1081,1,54,"[0.8306463410673475, 0.1693536589326525]",29,0.45977011494252873,0.7671164417791104,13.333333333333334,22.246376811594203
1082,2,54,"[0.8306463410673475, 0.1693536589326525]",42,0.4902075006918642,0.7600379623260692,20.588715029058296,31.92159441769491
1083,3,54,"[0.8306463410673475, 0.1693536589326525]",23,0.6220221862127453,0.7275004845703247,14.306510282893141,16.732511145117467
1084,4,54,"[0.8306463410673475, 0.1693536589326525]",12,0.6326871591785196,0.6616843444649593,7.592245910142235,7.940212133579511
1085,5,54,"[0.8306463410673475, 0.1693536589326525]",17,0.8528947123873398,0.5900684027764714,14.499210110584777,10.031162847200015
1086,6,54,"[0.8306463410673475, 0.1693536589326525]",13,0.8426866181561896,0.5656370423474057,10.954926036030464,7.353281550516274
1087,7,54,"[0.8306463410673475, 0.1693536589326525]",6,0.8212973998601133,0.4419637610436384,4.92778439916068,2.65178256626183
1088,8,54,"[0.8306463410673475, 0.1693536589326525]",11,0.9025255944790189,0.5168081414579385,9.927781539269208,5.684889556037324
1089,9,54,"[0.8306463410673475, 0.1693536589326525]",16,0.6947521103367296,0.6626296346913706,11.116033765387673,10.60207415506193
1090,10,54,"[0.8306463410673475, 0.1693536589326525]",19,0.7680117995787477,0.6413917026528705,14.592224191996205,12.186442350404539
1091,11,54,"[0.8306463410673475, 0.1693536589326525]",25,0.580419310961945,0.7314888319810464,14.510482774048626,18.28722079952616
1092,12,54,"[0.8306463410673475, 0.1693536589326525]",23,0.4554865424430642,0.7599693941848954,10.476190476190476,17.479296066252594
1093,13,54,"[0.8306463410673475, 0.1693536589326525]",6,0.43309523179349424,0.6991315850011502,2.5985713907609655,4.194789510006902
1094,14,54,"[0.8306463410673475, 0.1693536589326525]",13,0.9175216568583008,0.5306261594526466,11.92778153915791,6.898140072884406
1095,15,54,"[0.8306463410673475, 0.1693536589326525]",7,0.6349672042695088,0.5597720398987224,4.444770429886562,3.9184042792910567
1096,16,54,"[0.8306463410673475, 0.1693536589326525]",14,0.6135619079692798,0.6840612925937448,8.589866711569917,9.576858096312428
1097,17,54,"[0.8306463410673475, 0.1693536589326525]",13,0.4819413890328945,0.7761320804799066,6.265238057427629,10.089717046238786
1098,18,54,"[0.8306463410673475, 0.1693536589326525]",17,0.510820772017435,0.7093387046336191,8.683953124296396,12.058757978771526
1099,19,54,"[0.8306463410673475, 0.1693536589326525]",16,0.4489680596574958,0.747832556935818,7.183488954519933,11.965320910973087
1100,0,55,"[0.8460577751344688, 0.15394222486553116]",10,0.512554396577851,0.7025762969268692,5.125543965778509,7.025762969268691
1101,1,55,"[0.8460577751344688, 0.15394222486553116]",7,0.4486618755736886,0.7218278615794144,3.14063312901582,5.052795031055901
1102,2,55,"[0.8460577751344688, 0.15394222486553116]",16,0.6638494626113214,0.6763569120632853,10.621591401781142,10.821710593012565
1103,3,55,"[0.8460577751344688, 0.15394222486553116]",11,0.5544576254495167,0.6874107730246526,6.099033879944684,7.561518503271179
1104,4,55,"[0.8460577751344688, 0.15394222486553116]",14,0.5555788402299925,0.6771427487278291,7.778103763219895,9.479998482189608
1105,5,55,"[0.8460577751344688, 0.15394222486553116]",4,0.39230113939749534,0.6315993788819876,1.5692045575899813,2.5263975155279503
1106,6,55,"[0.8460577751344688, 0.15394222486553116]",11,0.9025255944790189,0.5168081414579385,9.927781539269208,5.684889556037324
1107,7,55,"[0.8460577751344688, 0.15394222486553116]",5,0.7855606514633781,0.4090569194695254,3.9278032573168904,2.045284597347627
1108,8,55,"[0.8460577751344688, 0.15394222486553116]",15,0.4918089799078667,0.7247564086712831,7.377134698618001,10.871346130069247
1109,9,55,"[0.8460577751344688, 0.15394222486553116]",22,0.778001532535958,0.6473556987763606,17.116033715791076,14.241825373079932
1110,10,55,"[0.8460577751344688, 0.15394222486553116]",12,0.8295771697314406,0.5622213580631799,9.954926036777287,6.746656296758158
1111,11,55,"[0.8460577751344688, 0.15394222486553116]",5,0.41495237339086816,0.6705314009661836,2.074761866954341,3.352657004830918
1112,12,55,"[0.8460577751344688, 0.15394222486553116]",7,0.7784816407411858,0.49913072449111623,5.4493714851883,3.4939150714378138
1113,13,55,"[0.8460577751344688, 0.15394222486553116]",18,0.61993846673887,0.7060974211530324,11.15889240129966,12.709753580754583
1114,14,55,"[0.8460577751344688, 0.15394222486553116]",13,0.587692935529616,0.6937552583050771,7.6400081618850075,9.018818357966003
1115,15,55,"[0.8460577751344688, 0.15394222486553116]",9,0.7750445514890146,0.5491840080726331,6.975400963401132,4.9426560726536986
1116,16,55,"[0.8460577751344688, 0.15394222486553116]",20,0.46746031746031746,0.7698671497584544,9.34920634920635,15.397342995169089
1117,17,55,"[0.8460577751344688, 0.15394222486553116]",25,0.8977842203040757,0.5934618347989035,22.444605507601892,14.836545869972587
1118,18,55,"[0.8460577751344688, 0.15394222486553116]",21,0.45351473922902497,0.7566794833875582,9.523809523809524,15.890269151138723
1119,19,55,"[0.8460577751344688, 0.15394222486553116]",20,0.8722302753800946,0.590170978798837,17.444605507601892,11.80341957597674
1120,0,56,"[0.8614488007108935, 0.13855119928910656]",43,0.5270838738601751,0.7482735958802924,22.664606575987527,32.175764622852576
1121,1,56,"[0.8614488007108935, 0.13855119928910656]",14,0.9234129670825861,0.5360546665480047,12.927781539156205,7.504765331672066
1122,2,56,"[0.8614488007108935, 0.13855119928910656]",12,0.593016553172957,0.6813904877325018,7.116198638075484,8.17668585279002
1123,3,56,"[0.8614488007108935, 0.13855119928910656]",19,0.741988500076776,0.6529513990301146,14.097781501458742,12.406076581572176
1124,4,56,"[0.8614488007108935, 0.13855119928910656]",25,0.4575936492812322,0.7633678398895792,11.439841232030805,19.08419599723948
1125,5,56,"[0.8614488007108935, 0.13855119928910656]",10,0.5541094300846511,0.6687639966349164,5.541094300846511,6.687639966349164
1126,6,56,"[0.8614488007108935, 0.13855119928910656]",11,0.5995102843733893,0.6667775770558216,6.594613128107282,7.334553347614038
1127,7,56,"[0.8614488007108935, 0.13855119928910656]",5,0.6899067094936472,0.45635166331162746,3.449533547468236,2.2817583165581374
1128,8,56,"[0.8614488007108935, 0.13855119928910656]",8,0.6874039785931827,0.5714602641094472,5.499231828745462,4.571682112875577
1129,9,56,"[0.8614488007108935, 0.13855119928910656]",6,0.6591818263669785,0.5180029676435174,3.9550909582018714,3.1080178058611043
1130,10,56,"[0.8614488007108935, 0.13855119928910656]",16,0.7233732490042019,0.646918350132464,11.57397198406723,10.350693602119424
1131,11,56,"[0.8614488007108935, 0.13855119928910656]",39,0.5315467347005361,0.7427170451507386,20.73032265332091,28.965964760878805
1132,12,56,"[0.8614488007108935, 0.13855119928910656]",12,0.8707807187747357,0.543918505101109,10.44936862529683,6.527022061213308
1133,13,56,"[0.8614488007108935, 0.13855119928910656]",5,0.41904761904761906,0.6737060041407867,2.0952380952380953,3.368530020703934
1134,14,56,"[0.8614488007108935, 0.13855119928910656]",7,0.7078496791540209,0.5305252274037968,4.954947754078146,3.7136765918265775
1135,15,56,"[0.8614488007108935, 0.13855119928910656]",8,0.8061711252262131,0.5125654459347144,6.449369001809705,4.100523567477715
1136,16,56,"[0.8614488007108935, 0.13855119928910656]",14,0.8539232882808656,0.5685647720465431,11.954926035932118,7.959906808651604
1137,17,56,"[0.8614488007108935, 0.13855119928910656]",6,0.8212973998601133,0.4419637610436384,4.92778439916068,2.65178256626183
1138,18,56,"[0.8614488007108935, 0.13855119928910656]",11,0.5135775899625484,0.7152632249495159,5.649353489588033,7.8678954744446745
1139,19,56,"[0.8614488007108935, 0.13855119928910656]",34,0.5704996032229325,0.7240471207462499,19.396986509579705,24.617602105372494
1140,0,57,"[0.8768995751030195, 0.12310042489698052]",6,0.574309647700193,0.5531849909408718,3.445857886201158,3.3191099456452307
1141,1,57,"[0.8768995751030195, 0.12310042489698052]",5,0.7820558775298688,0.4058823162949222,3.9102793876493442,2.029411581474611
1142,2,57,"[0.8768995751030195, 0.12310042489698052]",7,0.7784816407411858,0.49913072449111623,5.4493714851883,3.4939150714378138
1143,3,57,"[0.8768995751030195, 0.12310042489698052]",10,0.5541094300846511,0.6687639966349164,5.541094300846511,6.687639966349164
1144,4,57,"[0.8768995751030195, 0.12310042489698052]",25,0.7856826901376668,0.6518883358341016,19.64206725344167,16.29720839585254
1145,5,57,"[0.8768995751030195, 0.12310042489698052]",12,0.8707807187747357,0.543918505101109,10.44936862529683,6.527022061213308
1146,6,57,"[0.8768995751030195, 0.12310042489698052]",9,0.8808646161874689,0.49684878686228395,7.92778154568722,4.471639081760555
1147,7,57,"[0.8768995751030195, 0.12310042489698052]",11,0.9025255944790189,0.5168081414579385,9.927781539269208,5.684889556037324
1148,8,57,"[0.8768995751030195, 0.12310042489698052]",11,0.9025255944790189,0.5168081414579385,9.927781539269208,5.684889556037324
1149,9,57,"[0.8768995751030195, 0.12310042489698052]",9,0.6669516804744496,0.5997712891309495,6.002565124270046,5.397941602178545
1150,10,57,"[0.8768995751030195, 0.12310042489698052]",16,0.9329863461972469,0.5448759905792934,14.92778153915595,8.718015849268694
1151,11,57,"[0.8768995751030195, 0.12310042489698052]",20,0.6437780503074491,0.6818635421216265,12.875561006148981,13.63727084243253
1152,12,57,"[0.8768995751030195, 0.12310042489698052]",10,0.844936863171484,0.531377158693654,8.44936863171484,5.313771586936539
1153,13,57,"[0.8768995751030195, 0.12310042489698052]",22,0.7935318490811901,0.5985289216886359,17.457700679786182,13.16763627714999
1154,14,57,"[0.8768995751030195, 0.12310042489698052]",4,0.39230113939749534,0.6315993788819876,1.5692045575899813,2.5263975155279503
1155,15,57,"[0.8768995751030195, 0.12310042489698052]",4,0.7319866153601537,0.35990645284553846,2.927946461440615,1.4396258113821538
1156,16,57,"[0.8768995751030195, 0.12310042489698052]",49,0.4704469717372461,0.7825101054914717,23.051901615125058,38.342995169082116
1157,17,57,"[0.8768995751030195, 0.12310042489698052]",25,0.6673080298324158,0.6761326422829009,16.682700745810394,16.903316057072523
1158,18,57,"[0.8768995751030195, 0.12310042489698052]",25,0.8046413486316328,0.6424680459790282,20.11603371579082,16.061701149475706
1159,19,57,"[0.8768995751030195, 0.12310042489698052]",7,0.4486618755736886,0.7218278615794144,3.14063312901582,5.052795031055901
1160,0,58,"[0.8921750204067995, 0.10782497959320049]",7,0.8468259879688692,0.4654844374716759,5.927781915782084,3.2583910623017314
1161,1,58,"[0.8921750204067995, 0.10782497959320049]",18,0.8987042275678494,0.5102908122686256,16.17667609622129,9.18523462083526
1162,2,58,"[0.8921750204067995, 0.10782497959320049]",6,0.6591818263669785,0.5180029676435174,3.9550909582018714,3.1080178058611043
1163,3,58,"[0.8921750204067995, 0.10782497959320049]",9,0.7727696013937044,0.547420339642298,6.95492641254334,4.926783056780682
