,repetition_number,weight_index,weight_tuple,num_iterations,vehicle_id,normalised_speed_reward,normalised_energy_reward,raw_speed_reward,raw_energy_reward
301,10,7,"[0.24116748551178582, 0.7588325144882142]",80,1,0.37160621226735546,0.8572961939689774,29.72849698138844,68.5836955175182
302,11,7,"[0.24116748551178582, 0.7588325144882142]",59,0,0.23799194082581074,0.9015663387061508,14.041524508722834,53.192413983662895
303,11,7,"[0.24116748551178582, 0.7588325144882142]",59,1,0.2808285044993459,0.8840617055013088,16.568881765461406,52.15964062457722
304,12,7,"[0.24116748551178582, 0.7588325144882142]",27,0,0.26721932983832225,0.8778241625818529,7.214921905634701,23.701252389710028
305,12,7,"[0.24116748551178582, 0.7588325144882142]",27,1,0.39290205553870855,0.8409383357844676,10.60835549954513,22.705335066180627
306,13,7,"[0.24116748551178582, 0.7588325144882142]",26,0,0.20014069553496142,0.8932196622970399,5.203658083908997,23.223711219723036
307,13,7,"[0.24116748551178582, 0.7588325144882142]",26,1,0.27741490947959746,0.8879610163971274,7.212787646469534,23.086986426325314
308,14,7,"[0.24116748551178582, 0.7588325144882142]",80,0,0.26132323274853675,0.8824712205015169,20.90585861988294,70.59769764012135
309,14,7,"[0.24116748551178582, 0.7588325144882142]",80,1,0.276601415251195,0.8784691964053424,22.128113220095603,70.2775357124274
310,15,7,"[0.24116748551178582, 0.7588325144882142]",80,0,0.2987703035808106,0.886605386867226,23.90162428646485,70.92843094937808
311,15,7,"[0.24116748551178582, 0.7588325144882142]",80,1,0.29264544330289927,0.8720298284507612,23.411635464231942,69.7623862760609
312,16,7,"[0.24116748551178582, 0.7588325144882142]",21,0,0.1861642553262512,0.8290292877145452,3.909449361851275,17.40961504200545
313,16,7,"[0.24116748551178582, 0.7588325144882142]",21,1,0.13613531901349707,0.5946631259655083,2.8588416992834382,12.487925645275674
314,17,7,"[0.24116748551178582, 0.7588325144882142]",16,0,0.208580359739523,0.8802659943164653,3.337285755832368,14.084255909063446
315,17,7,"[0.24116748551178582, 0.7588325144882142]",16,1,0.20958759899398313,0.9136317126117268,3.35340158390373,14.61810740178763
316,18,7,"[0.24116748551178582, 0.7588325144882142]",37,0,0.1962052133114583,0.6807427486155024,7.259592892523957,25.187481698773592
317,18,7,"[0.24116748551178582, 0.7588325144882142]",37,1,0.16023316959412112,0.6238063919376402,5.928627274982482,23.080836501692687
318,19,7,"[0.24116748551178582, 0.7588325144882142]",67,0,0.3197131575859627,0.8646547294377965,21.4207815582595,57.93186687233237
319,19,7,"[0.24116748551178582, 0.7588325144882142]",67,1,0.33945178346884874,0.870732788729424,22.743269492412868,58.339096844871406
320,0,8,"[0.27564742615864446, 0.7243525738413555]",80,0,0.2714743843453647,0.8947750839301453,21.717950747629175,71.58200671441162
321,0,8,"[0.27564742615864446, 0.7243525738413555]",80,1,0.3967668046904813,0.8666827911266044,31.741344375238505,69.33462329012835
322,1,8,"[0.27564742615864446, 0.7243525738413555]",80,0,0.3355816555260419,0.8524464311518859,26.84653244208335,68.19571449215087
323,1,8,"[0.27564742615864446, 0.7243525738413555]",80,1,0.39934916726289427,0.8374009786730537,31.94793338103154,66.9920782938443
324,2,8,"[0.27564742615864446, 0.7243525738413555]",23,0,0.24487579070551896,0.8564559557706649,5.632143186226936,19.698486982725292
325,2,8,"[0.27564742615864446, 0.7243525738413555]",23,1,0.16766088832597562,0.6800124560003951,3.856200431497439,15.640286488009085
326,3,8,"[0.27564742615864446, 0.7243525738413555]",80,0,0.3268583858495452,0.8839525105833956,26.148670867963613,70.71620084667165
327,3,8,"[0.27564742615864446, 0.7243525738413555]",80,1,0.4060240865550977,0.8611675724868428,32.481926924407816,68.89340579894743
328,4,8,"[0.27564742615864446, 0.7243525738413555]",3,0,0.1363939604696814,0.7972078902103489,0.40918188140904427,2.3916236706310467
329,4,8,"[0.27564742615864446, 0.7243525738413555]",3,1,0.2881306166751502,0.900034115833037,0.8643918500254506,2.700102347499111
330,5,8,"[0.27564742615864446, 0.7243525738413555]",80,0,0.27460662299154304,0.8928261802609979,21.968529839323445,71.42609442087983
331,5,8,"[0.27564742615864446, 0.7243525738413555]",80,1,0.3018851899827462,0.873133577743386,24.150815198619696,69.85068621947087
332,6,8,"[0.27564742615864446, 0.7243525738413555]",80,0,0.3227751798652706,0.8553169750798266,25.822014389221646,68.42535800638613
333,6,8,"[0.27564742615864446, 0.7243525738413555]",80,1,0.33880270686213093,0.8671307264712542,27.104216548970474,69.37045811770034
334,7,8,"[0.27564742615864446, 0.7243525738413555]",18,0,0.22748402872624457,0.8849026873661159,4.094712517072402,15.928248372590087
335,7,8,"[0.27564742615864446, 0.7243525738413555]",18,1,0.21509572263710824,0.9197363164363084,3.8717230074679483,16.55525369585355
336,8,8,"[0.27564742615864446, 0.7243525738413555]",80,0,0.2637522538379282,0.8886089474185361,21.100180307034258,71.08871579348289
337,8,8,"[0.27564742615864446, 0.7243525738413555]",80,1,0.2920639857231172,0.8679693338027654,23.365118857849378,69.43754670422123
338,9,8,"[0.27564742615864446, 0.7243525738413555]",47,0,0.25723617825628725,0.8915916503334551,12.0901003780455,41.90480756567239
339,9,8,"[0.27564742615864446, 0.7243525738413555]",47,1,0.3692918541528201,0.8629084308065686,17.356717145182547,40.556696247908725
340,10,8,"[0.27564742615864446, 0.7243525738413555]",80,0,0.3180581682601077,0.866729866677279,25.444653460808617,69.33838933418232
341,10,8,"[0.27564742615864446, 0.7243525738413555]",80,1,0.414604565871542,0.8396127678685419,33.16836526972336,67.16902142948335
342,11,8,"[0.27564742615864446, 0.7243525738413555]",18,0,0.22283682751101605,0.8879429164078436,4.011062895198289,15.982972495341185
343,11,8,"[0.27564742615864446, 0.7243525738413555]",18,1,0.25098903294101776,0.9033157346765361,4.517802592938319,16.25968322417765
344,12,8,"[0.27564742615864446, 0.7243525738413555]",80,0,0.3918272131189623,0.8442374093924252,31.34617704951698,67.53899275139402
345,12,8,"[0.27564742615864446, 0.7243525738413555]",80,1,0.39309719030363544,0.8500612026539937,31.447775224290837,68.0048962123195
346,13,8,"[0.27564742615864446, 0.7243525738413555]",34,0,0.26563435832817217,0.8883308194398082,9.031568183157853,30.20324786095348
347,13,8,"[0.27564742615864446, 0.7243525738413555]",34,1,0.2973248133634754,0.8816526172251897,10.109043654358164,29.97618898565645
348,14,8,"[0.27564742615864446, 0.7243525738413555]",80,0,0.30974220254338797,0.8780413642465913,24.77937620347104,70.2433091397273
349,14,8,"[0.27564742615864446, 0.7243525738413555]",80,1,0.331420682940429,0.8599588263919262,26.513654635234317,68.7967061113541
350,15,8,"[0.27564742615864446, 0.7243525738413555]",9,0,0.24205715358817356,0.8662412310214533,2.178514382293562,7.79617107919308
351,15,8,"[0.27564742615864446, 0.7243525738413555]",9,1,0.24562284008396806,0.8879925836728516,2.2106055607557127,7.991933253055665
352,16,8,"[0.27564742615864446, 0.7243525738413555]",10,0,0.25011529904244734,0.8683349221718272,2.5011529904244734,8.683349221718272
353,16,8,"[0.27564742615864446, 0.7243525738413555]",10,1,0.22904619824167485,0.9057403452883637,2.2904619824167485,9.057403452883637
354,17,8,"[0.27564742615864446, 0.7243525738413555]",23,0,0.21855772642229432,0.8988454208506163,5.026827707712769,20.673444679564174
355,17,8,"[0.27564742615864446, 0.7243525738413555]",23,1,0.2990148813288443,0.8844581708959912,6.877342270563418,20.342537930607797
356,18,8,"[0.27564742615864446, 0.7243525738413555]",80,0,0.3594405045137544,0.8545324957485372,28.755240361100352,68.36259965988297
357,18,8,"[0.27564742615864446, 0.7243525738413555]",80,1,0.3841280719174949,0.8657434972506849,30.73024575339959,69.25947978005479
358,19,8,"[0.27564742615864446, 0.7243525738413555]",78,0,0.355432189128082,0.8494076059528257,27.723710751990396,66.25379326432041
359,19,8,"[0.27564742615864446, 0.7243525738413555]",78,1,0.38784266703578935,0.8391031341774516,30.251728028791568,65.45004446584123
360,0,9,"[0.3102001663883069, 0.6897998336116932]",80,0,0.3554708336013014,0.7683313252378406,28.437666688104112,61.46650601902725
361,0,9,"[0.3102001663883069, 0.6897998336116932]",80,1,0.19944765144049,0.5857989378986193,15.955812115239201,46.86391503188954
362,1,9,"[0.3102001663883069, 0.6897998336116932]",80,0,0.7103852470882018,0.7172499188920056,56.83081976705615,57.37999351136045
363,1,9,"[0.3102001663883069, 0.6897998336116932]",80,1,0.3581582399717089,0.6714500222391451,28.652659197736714,53.71600177913161
364,2,9,"[0.3102001663883069, 0.6897998336116932]",40,0,0.23346466105532288,0.8932201638462673,9.338586442212915,35.728806553850696
365,2,9,"[0.3102001663883069, 0.6897998336116932]",40,1,0.38266354737866626,0.8601620990381308,15.306541895146651,34.40648396152523
366,3,9,"[0.3102001663883069, 0.6897998336116932]",80,0,0.2952713020453854,0.8887476402243882,23.62170416363083,71.09981121795106
367,3,9,"[0.3102001663883069, 0.6897998336116932]",80,1,0.4132879302617904,0.8583497377655774,33.06303442094323,68.6679790212462
368,4,9,"[0.3102001663883069, 0.6897998336116932]",44,0,0.38795138206941543,0.8170558326578945,17.06986081105428,35.95045663694736
369,4,9,"[0.3102001663883069, 0.6897998336116932]",44,1,0.363882062574554,0.8445833229534617,16.010810753280378,37.161666209952315
370,5,9,"[0.3102001663883069, 0.6897998336116932]",79,0,0.28316105802580166,0.8675792264778005,22.369723584038333,68.53875889174624
371,5,9,"[0.3102001663883069, 0.6897998336116932]",79,1,0.3152103606096463,0.8565215538370018,24.901618488162057,67.66520275312314
372,6,9,"[0.3102001663883069, 0.6897998336116932]",22,0,0.16765288842303422,0.895373719812729,3.688363545306753,19.698221835880037
373,6,9,"[0.3102001663883069, 0.6897998336116932]",22,1,0.24230631637116573,0.8176417851377491,5.330738960165646,17.98811927303048
374,7,9,"[0.3102001663883069, 0.6897998336116932]",48,0,0.2296610957782298,0.7236877173275648,11.02373259735503,34.73701043172311
375,7,9,"[0.3102001663883069, 0.6897998336116932]",48,1,0.18987287832689428,0.6238400970960531,9.113898159690926,29.94432466061055
376,8,9,"[0.3102001663883069, 0.6897998336116932]",41,0,0.2990469222212766,0.8433795571035908,12.26092381107234,34.57856184124722
377,8,9,"[0.3102001663883069, 0.6897998336116932]",41,1,0.24825173869312497,0.8813550666049706,10.178321286418123,36.1355577308038
378,9,9,"[0.3102001663883069, 0.6897998336116932]",80,0,0.3112221751359353,0.794508966125687,24.897774010874826,63.56071729005496
379,9,9,"[0.3102001663883069, 0.6897998336116932]",80,1,0.21001672298517163,0.6183665148534342,16.80133783881373,49.46932118827473
