,repetition_number,weight_index,weight_tuple,num_iterations,normalised_speed_reward,normalised_energy_reward,raw_speed_reward,raw_energy_reward,env_config_id,gamma,replay_buffer_size,use_reward_normalisation_wrapper,use_default_reward_normalisation,network_hidden_sizes,use_double_q_learning
50,10,2,"[0.06845280347340314, 0.9315471965265969]",80,0.0008616975441622515,0.9088595083829402,0.06893580353298012,72.70876067063521,0,0.9,1000,False,True,"[128, 128]",False
51,11,2,"[0.06845280347340314, 0.9315471965265969]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,1000,False,True,"[128, 128]",False
52,12,2,"[0.06845280347340314, 0.9315471965265969]",80,0.031164727847192607,0.9391625386859704,2.4931782277754087,75.13300309487764,0,0.9,1000,False,True,"[128, 128]",False
53,13,2,"[0.06845280347340314, 0.9315471965265969]",80,0.039119273301738006,0.9471170841405167,3.1295418641390405,75.76936673124133,0,0.9,1000,False,True,"[128, 128]",False
54,14,2,"[0.06845280347340314, 0.9315471965265969]",80,0.0008616975441622515,0.9088595083829402,0.06893580353298012,72.70876067063521,0,0.9,1000,False,True,"[128, 128]",False
55,15,2,"[0.06845280347340314, 0.9315471965265969]",80,0.06146775815022283,0.9694655689890013,4.917420652017826,77.5572455191201,0,0.9,1000,False,True,"[128, 128]",False
56,16,2,"[0.06845280347340314, 0.9315471965265969]",80,0.031164727847192607,0.9391625386859704,2.4931782277754087,75.13300309487764,0,0.9,1000,False,True,"[128, 128]",False
57,17,2,"[0.06845280347340314, 0.9315471965265969]",80,0.06146775815022283,0.9694655689890013,4.917420652017826,77.5572455191201,0,0.9,1000,False,True,"[128, 128]",False
58,18,2,"[0.06845280347340314, 0.9315471965265969]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,1000,False,True,"[128, 128]",False
59,19,2,"[0.06845280347340314, 0.9315471965265969]",80,0.06146775815022283,0.9694655689890013,4.917420652017826,77.5572455191201,0,0.9,1000,False,True,"[128, 128]",False
60,0,3,"[0.10341905812232488, 0.896580941877675]",80,0.0008616975441622515,0.9088595083829402,0.06893580353298012,72.70876067063521,0,0.9,1000,False,True,"[128, 128]",False
61,1,3,"[0.10341905812232488, 0.896580941877675]",80,0.06146775815022283,0.9694655689890013,4.917420652017826,77.5572455191201,0,0.9,1000,False,True,"[128, 128]",False
62,2,3,"[0.10341905812232488, 0.896580941877675]",80,0.09745260663507115,0.9978849530469729,7.796208530805692,79.83079624375783,0,0.9,1000,False,True,"[128, 128]",False
63,3,3,"[0.10341905812232488, 0.896580941877675]",80,0.06146775815022283,0.9694655689890013,4.917420652017826,77.5572455191201,0,0.9,1000,False,True,"[128, 128]",False
64,4,3,"[0.10341905812232488, 0.896580941877675]",80,0.030747856896685476,0.9387837508071826,2.459828551734838,75.1027000645746,0,0.9,1000,False,True,"[128, 128]",False
65,5,3,"[0.10341905812232488, 0.896580941877675]",80,0.060697059647878714,0.9687079932314256,4.855764771830297,77.49663945851405,0,0.9,1000,False,True,"[128, 128]",False
