,repetition_number,weight_index,weight_tuple,num_iterations,normalised_speed_reward,normalised_energy_reward,raw_speed_reward,raw_energy_reward,env_config_id,gamma,replay_buffer_size,use_reward_normalisation_wrapper,use_default_reward_normalisation
87,7,4,"[0.1378259437207012, 0.8621740562792988]",80,0.16605563801055587,0.998398993795474,13.28445104084447,79.87191950363793,0,0.9,1000,False,True
88,8,4,"[0.1378259437207012, 0.8621740562792988]",80,0.15634544497103792,0.9886767715732517,12.507635597683032,79.09414172586014,0,0.9,1000,False,True
89,9,4,"[0.1378259437207012, 0.8621740562792988]",80,0.17433859168911164,0.9928623090128653,13.947087335128932,79.42898472102922,0,0.9,1000,False,True
90,10,4,"[0.1378259437207012, 0.8621740562792988]",80,0.16672720215529535,0.9990934382399186,13.338176172423628,79.92747505919348,0,0.9,1000,False,True
91,11,4,"[0.1378259437207012, 0.8621740562792988]",80,0.1674565560821491,0.999787882684363,13.396524486571929,79.98303061474904,0,0.9,1000,False,True
92,12,4,"[0.1378259437207012, 0.8621740562792988]",80,0.1726405342370256,0.9980612069597253,13.811242738962049,79.84489655677802,0,0.9,1000,False,True
93,13,4,"[0.1378259437207012, 0.8621740562792988]",80,0.17500997047867414,0.9935567534573098,14.000797638293932,79.48454027658478,0,0.9,1000,False,True
94,14,4,"[0.1378259437207012, 0.8621740562792988]",80,0.1778732227488158,0.9963345312350876,14.229857819905265,79.70676249880701,0,0.9,1000,False,True
95,15,4,"[0.1378259437207012, 0.8621740562792988]",80,0.16222386345116485,0.9876445402930585,12.977909076093187,79.01156322344468,0,0.9,1000,False,True
96,16,4,"[0.1378259437207012, 0.8621740562792988]",80,0.1681266753433934,0.9866123090128653,13.450134027471472,78.92898472102922,0,0.9,1000,False,True
97,17,4,"[0.1378259437207012, 0.8621740562792988]",80,0.1698610553324817,0.9952834291819475,13.588884426598536,79.6226743345558,0,0.9,1000,False,True
98,18,4,"[0.1378259437207012, 0.8621740562792988]",80,0.16186429126963353,0.9942323271288075,12.949143301570682,79.5385861703046,0,0.9,1000,False,True
99,19,4,"[0.1378259437207012, 0.8621740562792988]",80,0.15808155608214902,0.9834778736263919,12.646524486571922,78.67822989011135,0,0.9,1000,False,True
100,0,5,"[0.17237357852953172, 0.8276264214704683]",80,0.16361272518507636,0.9890334291819475,13.089018014806108,79.1226743345558,0,0.9,1000,False,True
101,1,5,"[0.17237357852953172, 0.8276264214704683]",80,0.17121655611515454,0.9966723180708363,13.697324489212363,79.73378544566691,0,0.9,1000,False,True
102,2,5,"[0.17237357852953172, 0.8276264214704683]",80,0.18754509733523056,0.9921867353413678,15.003607786818446,79.37493882730942,0,0.9,1000,False,True
103,3,5,"[0.17237357852953172, 0.8276264214704683]",80,0.1674565560821491,0.999787882684363,13.396524486571929,79.98303061474904,0,0.9,1000,False,True
104,4,5,"[0.17237357852953172, 0.8276264214704683]",80,0.16672720215529535,0.9990934382399186,13.338176172423628,79.92747505919348,0,0.9,1000,False,True
105,5,5,"[0.17237357852953172, 0.8276264214704683]",80,0.18308155608214915,0.99460785551045,14.646524486571932,79.568628440836,0,0.9,1000,False,True
106,6,5,"[0.17237357852953172, 0.8276264214704683]",80,0.1726405342370256,0.9980612069597253,13.811242738962049,79.84489655677802,0,0.9,1000,False,True
107,7,5,"[0.17237357852953172, 0.8276264214704683]",80,0.1809217678192437,0.9925245221771165,14.473741425539497,79.40196177416932,0,0.9,1000,False,True
108,8,5,"[0.17237357852953172, 0.8276264214704683]",80,0.16537152162473123,0.9977045493510296,13.229721729978499,79.81636394808237,0,0.9,1000,False,True
109,9,5,"[0.17237357852953172, 0.8276264214704683]",80,0.1778732227488158,0.9963345312350876,14.229857819905265,79.70676249880701,0,0.9,1000,False,True
110,10,5,"[0.17237357852953172, 0.8276264214704683]",80,0.1674565560821491,0.999787882684363,13.396524486571929,79.98303061474904,0,0.9,1000,False,True
111,11,5,"[0.17237357852953172, 0.8276264214704683]",80,0.13685062091540737,0.9553623090128646,10.948049673232589,76.42898472102917,0,0.9,1000,False,True
112,12,5,"[0.17237357852953172, 0.8276264214704683]",80,0.1726405342370256,0.9980612069597253,13.811242738962049,79.84489655677802,0,0.9,1000,False,True
113,13,5,"[0.17237357852953172, 0.8276264214704683]",80,0.18308155608214915,0.99460785551045,14.646524486571932,79.568628440836,0,0.9,1000,False,True
114,14,5,"[0.17237357852953172, 0.8276264214704683]",80,0.17121655611515454,0.9966723180708363,13.697324489212363,79.73378544566691,0,0.9,1000,False,True
115,15,5,"[0.17237357852953172, 0.8276264214704683]",80,0.16464216718382102,0.9970101049065851,13.17137337470568,79.76080839252681,0,0.9,1000,False,True
116,16,5,"[0.17237357852953172, 0.8276264214704683]",80,0.17018395417731866,0.9886956423461987,13.614716334185493,79.0956513876959,0,0.9,1000,False,True
117,17,5,"[0.17237357852953172, 0.8276264214704683]",80,0.12157284313762931,0.9400845312350864,9.725827451010344,75.20676249880691,0,0.9,1000,False,True
118,18,5,"[0.17237357852953172, 0.8276264214704683]",80,0.16532640415783612,0.9977045493510296,13.22611233262689,79.81636394808237,0,0.9,1000,False,True
119,19,5,"[0.17237357852953172, 0.8276264214704683]",80,0.061529423125914175,0.8869500958486126,4.922353850073134,70.95600766788901,0,0.9,1000,False,True
120,0,6,"[0.20685297134148314, 0.7931470286585169]",80,0.14592877830437123,0.978260104906585,11.674302264349699,78.2608083925268,0,0.9,1000,False,True
121,1,6,"[0.20685297134148314, 0.7931470286585169]",80,0.163289885303521,0.9956212160176963,13.06319082428168,79.6496972814157,0,0.9,1000,False,True
122,2,6,"[0.20685297134148314, 0.7931470286585169]",80,0.18308155608214915,0.99460785551045,14.646524486571932,79.568628440836,0,0.9,1000,False,True
123,3,6,"[0.20685297134148314, 0.7931470286585169]",80,0.16672720215529535,0.9990934382399186,13.338176172423628,79.92747505919348,0,0.9,1000,False,True
124,4,6,"[0.20685297134148314, 0.7931470286585169]",80,0.18826556426409305,0.9928811797858123,15.061245141127444,79.43049438286498,0,0.9,1000,False,True
125,5,6,"[0.20685297134148314, 0.7931470286585169]",80,0.15495652480100153,0.987287882684363,12.396521984080122,78.98303061474904,0,0.9,1000,False,True
126,6,6,"[0.20685297134148314, 0.7931470286585169]",80,0.1639707215329445,0.9963156604621407,13.11765772263556,79.70525283697125,0,0.9,1000,False,True
127,7,6,"[0.20685297134148314, 0.7931470286585169]",80,0.1674565560821491,0.999787882684363,13.396524486571929,79.98303061474904,0,0.9,1000,False,True
128,8,6,"[0.20685297134148314, 0.7931470286585169]",80,0.17121655611515454,0.9966723180708363,13.697324489212363,79.73378544566691,0,0.9,1000,False,True
129,9,6,"[0.20685297134148314, 0.7931470286585169]",80,0.17054517167869593,0.9959778736263919,13.643613734295675,79.67822989011135,0,0.9,1000,False,True
130,10,6,"[0.20685297134148314, 0.7931470286585169]",80,0.18613013315504404,0.9907978464524788,14.890410652403522,79.2638277161983,0,0.9,1000,False,True
131,11,6,"[0.20685297134148314, 0.7931470286585169]",80,0.19275343066859724,0.9904600596167301,15.420274453487778,79.2368047693384,0,0.9,1000,False,True
132,12,6,"[0.20685297134148314, 0.7931470286585169]",80,0.1726405342370256,0.9980612069597253,13.811242738962049,79.84489655677802,0,0.9,1000,False,True
133,13,6,"[0.20685297134148314, 0.7931470286585169]",80,0.17266488941548247,0.9980612069597253,13.813191153238597,79.84489655677802,0,0.9,1000,False,True
134,14,6,"[0.20685297134148314, 0.7931470286585169]",80,0.1726405342370256,0.9980612069597253,13.811242738962049,79.84489655677802,0,0.9,1000,False,True
135,15,6,"[0.20685297134148314, 0.7931470286585169]",80,0.1726405342370256,0.9980612069597253,13.811242738962049,79.84489655677802,0,0.9,1000,False,True
136,16,6,"[0.20685297134148314, 0.7931470286585169]",80,0.16532640415783612,0.9977045493510296,13.22611233262689,79.81636394808237,0,0.9,1000,False,True
137,17,6,"[0.20685297134148314, 0.7931470286585169]",80,0.18826556426409305,0.9928811797858123,15.061245141127444,79.43049438286498,0,0.9,1000,False,True
138,18,6,"[0.20685297134148314, 0.7931470286585169]",80,0.1823367639681585,0.9939134110660055,14.586941117452682,79.51307288528044,0,0.9,1000,False,True
139,19,6,"[0.20685297134148314, 0.7931470286585169]",80,0.16672720215529535,0.9990934382399186,13.338176172423628,79.92747505919348,0,0.9,1000,False,True
140,0,7,"[0.24138313907888614, 0.7586168609211139]",80,0.16537152162473123,0.9977045493510296,13.229721729978499,79.81636394808237,0,0.9,1000,False,True
141,1,7,"[0.24138313907888614, 0.7586168609211139]",80,0.19347389759742642,0.9911545040611746,15.477911807794113,79.29236032489396,0,0.9,1000,False,True
142,2,7,"[0.24138313907888614, 0.7586168609211139]",80,0.1677658107970177,0.9932000958486142,13.421264863761415,79.45600766788914,0,0.9,1000,False,True
143,3,7,"[0.24138313907888614, 0.7586168609211139]",80,0.1566332227818211,0.982088984737503,12.530657822545688,78.56711877900024,0,0.9,1000,False,True
144,4,7,"[0.24138313907888614, 0.7586168609211139]",80,0.18826556426409305,0.9928811797858123,15.061245141127444,79.43049438286498,0,0.9,1000,False,True
145,5,7,"[0.24138313907888614, 0.7586168609211139]",80,0.1684370766992798,0.9938945402930586,13.474966135942383,79.51156322344468,0,0.9,1000,False,True
146,6,7,"[0.24138313907888614, 0.7586168609211139]",80,0.1934982227488159,0.9911545040611746,15.479857819905272,79.29236032489396,0,0.9,1000,False,True
147,7,7,"[0.24138313907888614, 0.7586168609211139]",80,0.18308155608214915,0.99460785551045,14.646524486571932,79.568628440836,0,0.9,1000,False,True
148,8,7,"[0.24138313907888614, 0.7586168609211139]",80,0.1778488975656372,0.9963345312350876,14.227911805250976,79.70676249880701,0,0.9,1000,False,True
149,9,7,"[0.24138313907888614, 0.7586168609211139]",80,0.148656176470963,0.9671678645684205,11.892494117677039,77.37342916547364,0,0.9,1000,False,True
150,10,7,"[0.24138313907888614, 0.7586168609211139]",80,0.1986822309307598,0.9894278283365369,15.894578474460783,79.15422626692295,0,0.9,1000,False,True
151,11,7,"[0.24138313907888614, 0.7586168609211139]",80,0.20317009735433927,0.9823965511411302,16.253607788347143,78.59172409129042,0,0.9,1000,False,True
152,12,7,"[0.24138313907888614, 0.7586168609211139]",80,0.19870655608214924,0.9871128094928038,15.89652448657194,78.9690247594243,0,0.9,1000,False,True
153,13,7,"[0.24138313907888614, 0.7586168609211139]",80,0.1778488975656372,0.9963345312350876,14.227911805250976,79.70676249880701,0,0.9,1000,False,True
154,14,7,"[0.24138313907888614, 0.7586168609211139]",80,0.16672720215529535,0.9990934382399186,13.338176172423628,79.92747505919348,0,0.9,1000,False,True
155,15,7,"[0.24138313907888614, 0.7586168609211139]",80,0.16532640415783612,0.9977045493510296,13.22611233262689,79.81636394808237,0,0.9,1000,False,True
156,16,7,"[0.24138313907888614, 0.7586168609211139]",80,0.1934982227488159,0.9911545040611746,15.479857819905272,79.29236032489396,0,0.9,1000,False,True
157,17,7,"[0.24138313907888614, 0.7586168609211139]",80,0.1525016453481338,0.9779223180708364,12.200131627850704,78.23378544566691,0,0.9,1000,False,True
158,18,7,"[0.24138313907888614, 0.7586168609211139]",80,0.1809217678192437,0.9925245221771165,14.473741425539497,79.40196177416932,0,0.9,1000,False,True
