,repetition_number,weight_index,weight_tuple,num_iterations,normalised_speed_reward,normalised_energy_reward,raw_speed_reward,raw_energy_reward,env_config_id,gamma,replay_buffer_size,use_reward_normalisation_wrapper,use_default_reward_normalisation,network_hidden_sizes,use_double_q_learning
385,5,19,"[0.655329014133495, 0.3446709858665051]",80,0.9510865054178653,0.5843577670250985,76.08692043342923,46.748621362007874,0,0.9,1000,False,True,"[128, 128]",False
386,6,19,"[0.655329014133495, 0.3446709858665051]",80,0.9184999691421171,0.5984756126516518,73.47999753136936,47.878049012132145,0,0.9,1000,False,True,"[128, 128]",False
387,7,19,"[0.655329014133495, 0.3446709858665051]",19,0.8780123991284242,0.5070870593436756,16.68223558344006,9.634654127529837,0,0.9,1000,False,True,"[128, 128]",False
388,8,19,"[0.655329014133495, 0.3446709858665051]",80,0.8805591827090538,0.615997111610395,70.4447346167243,49.2797689288316,0,0.9,1000,False,True,"[128, 128]",False
389,9,19,"[0.655329014133495, 0.3446709858665051]",80,0.957152651216251,0.6074020687378778,76.57221209730008,48.59216549903023,0,0.9,1000,False,True,"[128, 128]",False
390,10,19,"[0.655329014133495, 0.3446709858665051]",54,0.8037325341006049,0.6104625693793921,43.401556841432665,32.964978746487176,0,0.9,1000,False,True,"[128, 128]",False
391,11,19,"[0.655329014133495, 0.3446709858665051]",80,0.9116743212279796,0.5968265489617657,72.93394569823838,47.74612391694125,0,0.9,1000,False,True,"[128, 128]",False
392,12,19,"[0.655329014133495, 0.3446709858665051]",80,0.7746888002765879,0.6798451109157043,61.975104022127034,54.38760887325635,0,0.9,1000,False,True,"[128, 128]",False
393,13,19,"[0.655329014133495, 0.3446709858665051]",18,0.7987206046428074,0.48208197194364477,14.376970883570532,8.677475494985606,0,0.9,1000,False,True,"[128, 128]",False
394,14,19,"[0.655329014133495, 0.3446709858665051]",80,0.741130779255067,0.6568841828446965,59.290462340405355,52.55073462757572,0,0.9,1000,False,True,"[128, 128]",False
395,15,19,"[0.655329014133495, 0.3446709858665051]",80,0.9366420747502285,0.5990286464186851,74.93136598001828,47.922291713494815,0,0.9,1000,False,True,"[128, 128]",False
396,16,19,"[0.655329014133495, 0.3446709858665051]",80,0.8697153929966837,0.6311013864568233,69.57723143973469,50.488110916545864,0,0.9,1000,False,True,"[128, 128]",False
397,17,19,"[0.655329014133495, 0.3446709858665051]",80,0.6889485049645014,0.696515911781313,55.11588039716012,55.72127294250504,0,0.9,1000,False,True,"[128, 128]",False
398,18,19,"[0.655329014133495, 0.3446709858665051]",39,0.6436825539095758,0.6516334383813265,25.103619602473458,25.413704096871733,0,0.9,1000,False,True,"[128, 128]",False
399,19,19,"[0.655329014133495, 0.3446709858665051]",80,0.9059909428749823,0.580470261019492,72.47927542999858,46.437620881559354,0,0.9,1000,False,True,"[128, 128]",False
400,0,20,"[0.6898688405534387, 0.3101311594465614]",22,0.8380412130747796,0.5553699216605885,18.436906687645152,12.218138276532947,0,0.9,1000,False,True,"[128, 128]",False
